original_sentence,processed_tokens
"ÇEŞME AYASARANDA MEVKİİNDE FULL DENİZ MANZARALI OLUP ÖNÜ KAPANMAZ MUHTEŞEM SAKIZ ADASI MANZARALI 2+1 , 1+1 BAHÇELİ VE TERASLI DAİRELERDEN OLUŞAN PROJEDE KAPALI OTOPARK SPOR SALONU 7/24 GÜVENLİK AKILLI VE KONTROL MAKENİZMALI EV KONTROL SİSTEMİ VE  SONSUZLUK HAVUZU SİZLERİ BEKLİYOR.",çeşme ayasara mevkiin full de manzarali olup ön kapanmaz muhteşe sakiz adasi manzarali bahçel terasli daire oluşa proje kapali otopark spor salo güvenlik akilli kontrol makenizmal kontrol siste sonsuzluk havuz siz bekliyor
4 BLOKTAN OLUŞAN PROJEDE  SINIRLI SAYIDA DAİRELERİMİZ KALMIŞTIR.,blok oluşa proje sinirli sayi daire kalmiş
DAİRELERİMİZ KONUMLARINA GÖRE FİYAT FARKLILIĞI GÖSTERMEKTEDİR.,daire konum gör fiyat farklilik göstermek
PROJEMİZ RESİNDENCE NİTELİĞİNDE OLUP HİSSE TAPULU OLARAK SATIŞ OLACAĞI İÇİN KREDİYE UYGUN DEĞİLDİR.,proje resinde nitelik olup his tapul olarak satiş olacaği kredi uygu değil
AİDAT ÖDEMESİ AYLIK 2.500 TL DİR.,aidat ödemes aylik dir
LÜTFEN DETAYLI BİLGİ İÇİN ARAYINIZ.,lütfe detayli bilgi aray
ÇEŞME ATİLLA EMLAK,çeşme atil emlak
"ÇEŞME DALYAN MAHALLESİNDE  DALYAN MARİNAYA,PLAJLARA,MARKETLERE,DOLMUŞLARA YAKIN  KALORİFERLİ  YAZ KIŞ OTURMAYA UYGUN 2 ODA 1 SALON  SIFIR SATILIK DAİRE  DETAYLI BİLGİ VE RANDEVU İÇİN LÜTFEN ARAYINIZ.",çeşme dalya mahalle dalya marinayaplajlaramarketleredolmuş yak kaloriferli yaz kiş oturma uygu o salo sifir satilik dair detayli bilgi randevu lütfe aray
ÇEŞME ATİLLA EMLAK,çeşme atil emlak
"ÇEŞME AYASARANDA MEVKİİNDE 712 RESİDENCE DA ÖZEL YAPIM SATILIK 2+1 DUBLEX DAİRERESIDENCE DAİREMİZ ÖZEL DİZAYN EDİLMİŞ OLUP,80M2 NET KULLANIM ALANINA SAHİPTİR.EVDE ÖZEL AJAX ALARM SİTEMİ MEVCUTTUR.MUTFAK VE TEZGAHI İTHAL MALZEMEDEN ÖZEL YAPTIRILMIŞTIR.DAİREMİZDE ANA SU HATTINDAN GİRİŞTE AYRICA İÇME SUYU ARITMASI MEVCUTTUR.AYRICA 17M2 ÖZEL DİZAYN EDİLMİŞ GİYİM ODASI OLARAK TASARLANAN KARAVAN MEVCUTTUR.ÖNÜNDE 24M2 İTHAL DEK KAPILIDIR.AYRICA OTOMATİK ALBERT GENAU PERGOLA ÜST AÇILIR MEVCUTTUR.YAN CAMLAR SÜRGÜLÜ SİSTEM,ÜSÜTÜNDE TÜM KAPI VE PENCERELERDE SİNEKLİK VARDIR.EŞYALAR FİYATA DAİL DEĞİLDİR.",çeşme ayasara mevkiin reside özel yap satilik dublex dairereside daire özel dizayn edil olupm net kullan alan sahiptirev özel ajax alarm site mevcutturmutfak tezgah ithal malzeme özel yaptirilmiştirdaire an hatt giriş ayriç içme su aritmas mevcutturayriç özel dizayn edil gi odasi olarak tasarlana karava mevcutturön ithal dek kapilidirayriç otomatik albert genau pergol üst açilir mevcutturya cam sürgül sistemüsüt kapi pencere sineklik vardireşya fiya dail değil
ÇEŞME MUSALLA'DA MARİNAYA YÜRÜME MESAFESİNDE SATILIK LÜKS SIFIR 1+1 DAİRE TOPLAM 2417 M2 ARSA ÜZERİNDE 2 BLOKTAN OLUŞAN HAVUZLU MODERN SİTE İÇERİSİNDEDİR.,çeşme musalla marina yür mesafe satilik lüks sifir dair topla ar üzer blok oluşa havuzlu modern si içeri
PROJE TOPLAM 24 DAİRE İÇERMEKTEDİR.,proje topla dair içermek
"PROJE DE 1+1, 2+1 VE 3+1 DAİRE SEÇENEKLERİ BULUNMAKTADIR.",proje dair seçenek bulunmaktadir
"1500 M2 BODRUM KATTA KAPALI OTOPARK ALANI VE HER DAİREYE AİT 5-9 M2'LİK DEPO ALANI GÖREVLİ DAİRESİ VE TEKNİK ALANLAR HAVUZ ALANI (250M2) VE PEYZAJ ALANI BRÜT YAŞAM ALANI 63 M2, NET KAPALI KULLANIM ALANI 55 M2 SALON, AÇIK MUTFAK, 1 ADET YATAK ODASI, GENEL BANYO VE BALKON ALANI​ ASANSÖRLÜ GÜVENLİKLİ KAMERA SİSTEMİ-YANGIN ALARMI VE HAREKET SENSÖRÜ OTOMATİK PANJURLU-SİNEKLİKLİ LİNEA ROSSA 1.",bodr kat kapali otopark alani daire ait mlik depo alani görevli daires teknik alan havuz alani peyzaj alani brüt yaşa alani net kapali kullan alani salo açik mutfak adet yatak odasi genel banyo balko alani asansörlü güvenlikli kamer sistemiyangı alarmi hareket sensör otomatik panjurlusineklikli linea ros
SINIF DOĞRAMALAR BANYO DA VİTRA VE GROHE MARKA 1.,sinif doğrama banyo vitra grohe marka
SINIF BATARYA VE EVYE MUTFAK DA SIEMENS MARKA ANKASTRE SETİ VE BULAŞIK MAKİNASI YATAK ODALARINDA SAMSUNG KLİMA SALONDA VRV ISITMA-SOĞUTMA SİSTEMİ YATAK ODALARINDA GÖMME DOLAP AKILLI EV OTOMASYONU VESTİYER ALANI VE ÇAMAŞIR-KURUTMA MAKİNASI ALANI DETAYLI BİLGİ VE RANDEVU TALEBİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ.,sinif batarya evye mutfak siemens marka ankastre set bulaşik makinas yatak oda samsungu klima salo vrv isitmasoğutma siste yatak oda gömme dolap akilli otomasyo vestiyer alani çamaşirkurutma makinas alani detayli bilgi randevu talep lütfe iletiş geç
ÇEŞME ŞİFNE YALI BÖLGESİNDE302 ARSA PAYLI5+2 280M2 BRÜT 180M2 NET KULLANIM ALANLIMÜSTAKİL VİLLAMIZ ŞÖMİNELİ OLUP MÜSTAKİL HAVUZLUDUR,çeşme şifne yali bölge ar payli brüt net kullan alanlimüstakil villa şöminel olup müstakil havuzlu
